Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| systemc/tests/systemc/kernel/sc_event/test07                                                                                           |          2 |        165 |         49 |         35 |        249 |
| systemc/tests/systemc/kernel/sc_event/test07/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
| systemc/tests/systemc/kernel/sc_event/test08                                                                                           |          2 |        227 |         49 |         42 |        318 |
| systemc/tests/systemc/kernel/sc_event/test08/golden                                                                                    |          1 |         75 |          0 |          2 |         77 |
| systemc/tests/systemc/kernel/sc_event/test09                                                                                           |          2 |        161 |         49 |         34 |        244 |
| systemc/tests/systemc/kernel/sc_event/test09/golden                                                                                    |          1 |         42 |          0 |          2 |         44 |
| systemc/tests/systemc/kernel/sc_event/test10                                                                                           |          2 |        172 |         43 |         37 |        252 |
| systemc/tests/systemc/kernel/sc_event/test10/golden                                                                                    |          1 |         55 |          0 |          6 |         61 |
| systemc/tests/systemc/kernel/sc_event/test11                                                                                           |          2 |        223 |         42 |         38 |        303 |
| systemc/tests/systemc/kernel/sc_event/test11/golden                                                                                    |          1 |         55 |          0 |          6 |         61 |
| systemc/tests/systemc/kernel/sc_event/test12                                                                                           |          2 |        243 |         42 |         38 |        323 |
| systemc/tests/systemc/kernel/sc_event/test12/golden                                                                                    |          1 |         55 |          0 |          6 |         61 |
| systemc/tests/systemc/kernel/sc_event/test13                                                                                           |          2 |         51 |         36 |         17 |        104 |
| systemc/tests/systemc/kernel/sc_event/test13/golden                                                                                    |          1 |         13 |          0 |          1 |         14 |
| systemc/tests/systemc/kernel/sc_event/test14                                                                                           |          2 |        103 |         36 |         19 |        158 |
| systemc/tests/systemc/kernel/sc_event/test14/golden                                                                                    |          1 |         34 |          0 |          3 |         37 |
| systemc/tests/systemc/kernel/sc_event/test15                                                                                           |          2 |        190 |         34 |         29 |        253 |
| systemc/tests/systemc/kernel/sc_event/test15/golden                                                                                    |          1 |         47 |          0 |          2 |         49 |
| systemc/tests/systemc/kernel/sc_lambda                                                                                                 |          2 |         43 |         44 |         13 |        100 |
| systemc/tests/systemc/kernel/sc_lambda/test01                                                                                          |          2 |         43 |         44 |         13 |        100 |
| systemc/tests/systemc/kernel/sc_lambda/test01/golden                                                                                   |          1 |         12 |          0 |          1 |         13 |
| systemc/tests/systemc/kernel/sc_macros                                                                                                 |          2 |        192 |         59 |         49 |        300 |
| systemc/tests/systemc/kernel/sc_macros/test01                                                                                          |          2 |        192 |         59 |         49 |        300 |
| systemc/tests/systemc/kernel/sc_macros/test01/golden                                                                                   |          1 |         39 |          0 |         21 |         60 |
